ID,Name,longName,battingName,fieldingName,imgUrl,dob,battingStyles,longBattingStyles,bowlingStyles,longBowlingStyles,playingRoles,espn_url
95094,RD Gaikwad,Ruturaj Gaikwad,RD Gaikwad,Gaikwad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322236.png",31/1/1997,rhb,right-hand bat,ob,right-arm offbreak,ob,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380
7593,MS Dhoni,MS Dhoni,MS Dhoni,Dhoni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319946.png",7/7/1981,rhb,right-hand bat,rm,right-arm medium,rm,https://www.espncricinfo.com/cricketers/ms-dhoni-28081
49247,RA Jadeja,Ravindra Jadeja,RA Jadeja,Jadeja,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316600.png",6/12/1988,lhb,left-hand bat,sla,slow left-arm orthodox,sla,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675
48739,DA Warner,David Warner,DA Warner,Warner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316589.png",27/10/1986,lhb,left-hand bat,lb,legbreak,lb,https://www.espncricinfo.com/cricketers/david-warner-219889
95316,Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322697.png",8/9/1999,rhb,right-hand bat,ob,right-arm offbreak,ob,https://www.espncricinfo.com/cricketers/shubman-gill-1070173
79159,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png",20/9/1998,rhb,right-hand bat,lbg,legbreak googly,lbg,https://www.espncricinfo.com/cricketers/rashid-khan-793463
63646,Mohammed Shami,Mohammed Shami,Mohammed Shami,Mohammed Shami,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316691.png",3/9/1990,rhb,right-hand bat,rf,right-arm fast,rf,https://www.espncricinfo.com/cricketers/mohammed-shami-481896
51012,AD Russell,Andre Russell,AD Russell,Russell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316615.png",29/4/1988,rhb,right-hand bat,rf,right-arm fast,rf,https://www.espncricinfo.com/cricketers/andre-russell-276298
60530,KL Rahul,KL Rahul,KL Rahul,Rahul,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319942.png",18/4/1992,rhb,right-hand bat,Na,Na,,https://www.espncricinfo.com/cricketers/kl-rahul-422108
70633,HH Pandya,Hardik Pandya,HH Pandya,Pandya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319938.png",11/10/1993,rhb,right-hand bat,rmf,right-arm medium-fast,rmf,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
70640,JJ Bumrah,Jasprit Bumrah,JJ Bumrah,Bumrah,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319940.png",6/12/1993,rhb,right-hand bat,rf,right-arm fast,rf,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383
48405,RG Sharma,Rohit Sharma,RG Sharma,Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316584.png",30/4/1987,rhb,right-hand bat,ob,right-arm offbreak,ob,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
61990,SA Yadav,Suryakumar Yadav,SA Yadav,Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png",14/9/1990,rhb,right-hand bat,rm,right-arm medium,rm,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
72103,SM Curran,Sam Curran,SM Curran,Curran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323113.png",3/6/1998,lhb,left-hand bat,lmf,left-arm medium-fast,lmf,https://www.espncricinfo.com/cricketers/sam-curran-662973
51092,TA Boult,Trent Boult,TA Boult,Boult,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316619.png",22/7/1989,rhb,right-hand bat,lfm,left-arm fast-medium,lfm,https://www.espncricinfo.com/cricketers/trent-boult-277912
61325,YS Chahal,Yuzvendra Chahal,YS Chahal,Chahal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319955.png",23/7/1990,rhb,right-hand bat,lbg,legbreak googly,lbg,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246
46933,F du Plessis,Faf du Plessis,F du Plessis,du Plessis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316559.png",13/7/1984,rhb,right-hand bat,lb,legbreak,lb,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828
49752,V Kohli,Virat Kohli,V Kohli,Kohli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",5/11/1988,rhb,right-hand bat,rm,right-arm medium,rm,https://www.espncricinfo.com/cricketers/virat-kohli-253802
54222,GJ Maxwell,Glenn Maxwell,GJ Maxwell,Maxwell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",14/10/1988,rhb,right-hand bat,ob,right-arm offbreak,ob,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026
